U+2FA03	䬳	6-5A3D	oifq
U+2FA04	餩	4-5523	oioyo
U+2FA05	馧	4-5E60	haabt
U+2FA06	駂	6-6450	pjsqf
U+2FA07	駾	7-3E29	sfcru
U+2FA08	䯎	7-2B55	bbomj
U+2FA09	𩬰	15-5932	shmhn
U+2FA0A	鬒	7-517A	shjbc
U+2FA0B	鱀	7-5A60	hunwf
U+2FA0C	鳽	4-5A59	mjmjf
U+2FA0D	䳎	7-4565	hxhaf
U+2FA0E	䳭	4-5F37	aislf
U+2FA0F	鵧	4-626E	hjhjf
U+2FA10	𪃎	7-5245	ovhaf
U+2FA11	䳸	5-7536	idhaf
U+2FA12	𪄅	5-7535	kehaf
U+2FA13	𪈎	15-6C77	dlmcf
U+2FA14	𪊑	7-3E5C	ipmjj
U+2FA15	麻	6-463E	idd
U+2FA16	䵖	4-684F	sehde
U+2FA17	黹	6-5A60	tmfb
U+2FA18	黾	4-2834	rwu
U+2FA19	鼅	3-5C2F	orbua
U+2FA1A	鼏	5-5351	bbun
U+2FA1B	鼖	7-4D28	jtge
U+2FA1C	鼻	4-4877	huwt
U+2FA1D	𪘀	7-5E4D	yuhjj
